object_id,status,valid_from,valid_to,is_current
25,запланирован,2017-12-01,2018-05-01,False
25,строится,2018-05-01,2022-04-01,False
25,введён,2022-04-01,,True
26,запланирован,2019-02-01,2020-06-01,False
26,строится,2020-06-01,2022-11-01,False
26,введён,2022-11-01,,True
27,запланирован,2018-03-01,2018-08-01,False
27,строится,2018-08-01,2019-12-01,False
27,введён,2019-12-01,,True
28,запланирован,2026-08-01,,True
29,запланирован,2026-08-01,,True
30,запланирован,2024-04-01,2025-02-01,False
30,строится,2025-02-01,,True
31,запланирован,2021-06-01,2021-10-01,False
31,строится,2021-10-01,2024-08-01,False
31,введён,2024-08-01,,True
32,запланирован,2027-09-01,,True
33,запланирован,2028-09-01,,True
34,запланирован,2022-07-01,2023-06-01,False
34,строится,2023-06-01,2025-01-01,False
34,введён,2025-01-01,,True
35,запланирован,2020-05-01,2021-04-01,False
35,строится,2021-04-01,2023-01-01,False
35,введён,2023-01-01,,True
36,запланирован,2023-10-01,2024-08-01,False
36,строится,2024-08-01,2026-08-01,False
36,введён,2026-08-01,,True
37,запланирован,2026-07-01,,True
38,запланирован,2020-04-01,2020-11-01,False
38,строится,2020-11-01,2021-05-01,False
38,введён,2021-05-01,,True
39,запланирован,2020-12-01,2021-09-01,False
39,строится,2021-09-01,2024-05-01,False
39,введён,2024-05-01,,True
40,запланирован,2027-12-01,,True
41,запланирован,2023-08-01,2024-10-01,False
41,строится,2024-10-01,,True
42,запланирован,2020-02-01,2020-05-01,False
42,строится,2020-05-01,2021-11-01,False
42,введён,2021-11-01,,True
43,запланирован,2019-01-01,2020-04-01,False
43,строится,2020-04-01,2023-10-01,False
43,введён,2023-10-01,,True
44,запланирован,2023-01-01,2024-04-01,False
44,строится,2024-04-01,2026-05-01,False
44,введён,2026-05-01,,True
45,запланирован,2026-05-01,,True
46,запланирован,2022-12-01,2023-08-01,False
46,строится,2023-08-01,,True
47,запланирован,2025-09-01,2026-08-01,False
47,строится,2026-08-01,,True
48,запланирован,2018-03-01,2018-12-01,False
48,строится,2018-12-01,2021-01-01,False
48,введён,2021-01-01,,True
49,запланирован,2022-02-01,2022-12-01,False
49,строится,2022-12-01,2025-07-01,False
49,введён,2025-07-01,,True
50,запланирован,2018-03-01,2019-04-01,False
50,строится,2019-04-01,2022-10-01,False
50,введён,2022-10-01,,True
51,запланирован,2024-11-01,2026-02-01,False
51,строится,2026-02-01,,True
52,запланирован,2019-02-01,2020-02-01,False
52,строится,2020-02-01,2023-11-01,False
52,введён,2023-11-01,,True
53,запланирован,2025-11-01,,True
54,запланирован,2025-05-01,2026-06-01,False
54,строится,2026-06-01,,True
55,запланирован,2022-07-01,2023-12-01,False
55,строится,2023-12-01,,True
56,запланирован,2021-04-01,2021-12-01,False
56,строится,2021-12-01,2025-09-01,False
56,введён,2025-09-01,,True
57,запланирован,2023-10-01,2024-01-01,False
57,строится,2024-01-01,,True
58,запланирован,2018-04-01,2019-07-01,False
58,строится,2019-07-01,2022-12-01,False
58,введён,2022-12-01,,True
59,запланирован,2017-11-01,2018-05-01,False
59,строится,2018-05-01,2019-09-01,False
59,введён,2019-09-01,,True
60,запланирован,2020-12-01,2021-05-01,False
60,строится,2021-05-01,2022-12-01,False
60,введён,2022-12-01,,True
61,запланирован,2022-01-01,2022-09-01,False
61,строится,2022-09-01,2023-05-01,False
61,введён,2023-05-01,,True
62,запланирован,2021-05-01,2021-09-01,False
62,строится,2021-09-01,2024-02-01,False
62,введён,2024-02-01,,True
63,запланирован,2017-10-01,2019-03-01,False
63,строится,2019-03-01,2020-06-01,False
63,введён,2020-06-01,,True
64,запланирован,2023-11-01,2024-09-01,False
64,строится,2024-09-01,2025-09-01,False
64,введён,2025-09-01,,True
65,запланирован,2021-03-01,2022-02-01,False
65,строится,2022-02-01,2023-11-01,False
65,введён,2023-11-01,,True
66,запланирован,2018-06-01,2018-12-01,False
66,строится,2018-12-01,2022-09-01,False
66,введён,2022-09-01,,True
67,запланирован,2019-08-01,2020-03-01,False
67,строится,2020-03-01,2023-01-01,False
67,введён,2023-01-01,,True
68,запланирован,2020-06-01,2021-05-01,False
68,строится,2021-05-01,2022-04-01,False
68,введён,2022-04-01,,True
69,запланирован,2024-05-01,2025-01-01,False
69,строится,2025-01-01,2026-07-01,False
69,введён,2026-07-01,,True
70,запланирован,2022-07-01,2023-10-01,False
70,строится,2023-10-01,2024-09-01,False
70,введён,2024-09-01,,True
71,запланирован,2023-09-01,2023-12-01,False
71,строится,2023-12-01,,True
72,запланирован,2024-08-01,2025-06-01,False
72,строится,2025-06-01,2026-04-01,False
72,введён,2026-04-01,,True
73,запланирован,2027-04-01,,True
74,запланирован,2019-11-01,2020-04-01,False
74,строится,2020-04-01,2023-11-01,False
74,введён,2023-11-01,,True
75,запланирован,2016-02-01,2016-09-01,False
75,строится,2016-09-01,2020-03-01,False
75,введён,2020-03-01,,True
76,запланирован,2028-01-01,,True
77,запланирован,2025-09-01,2026-07-01,False
77,строится,2026-07-01,,True
78,запланирован,2018-11-01,2019-11-01,False
78,строится,2019-11-01,2022-08-01,False
78,введён,2022-08-01,,True
79,запланирован,2022-03-01,2023-07-01,False
79,строится,2023-07-01,2024-01-01,False
79,введён,2024-01-01,,True
80,запланирован,2015-03-01,2016-03-01,False
80,строится,2016-03-01,2020-01-01,False
80,введён,2020-01-01,,True
81,запланирован,2017-10-01,2018-12-01,False
81,строится,2018-12-01,2021-06-01,False
81,введён,2021-06-01,,True
82,запланирован,2025-07-01,2025-11-01,False
82,строится,2025-11-01,,True
83,запланирован,2018-02-01,2018-12-01,False
83,строится,2018-12-01,2019-10-01,False
83,введён,2019-10-01,,True
84,запланирован,2018-09-01,2020-01-01,False
84,строится,2020-01-01,2023-05-01,False
84,введён,2023-05-01,,True
85,запланирован,2020-03-01,2020-11-01,False
85,строится,2020-11-01,2021-06-01,False
85,введён,2021-06-01,,True
86,запланирован,2022-10-01,2023-11-01,False
86,строится,2023-11-01,2025-09-01,False
86,введён,2025-09-01,,True
87,запланирован,2024-06-01,2024-09-01,False
87,строится,2024-09-01,,True
88,запланирован,2025-05-01,2025-09-01,False
88,строится,2025-09-01,,True
89,запланирован,2022-07-01,2023-06-01,False
89,строится,2023-06-01,2026-03-01,False
89,введён,2026-03-01,,True
90,запланирован,2020-09-01,2021-12-01,False
90,строится,2021-12-01,2024-10-01,False
90,введён,2024-10-01,,True
91,запланирован,2027-09-01,,True
92,запланирован,2017-11-01,2019-04-01,False
92,строится,2019-04-01,2020-05-01,False
92,введён,2020-05-01,,True
93,запланирован,2017-12-01,2019-02-01,False
93,строится,2019-02-01,2022-08-01,False
93,введён,2022-08-01,,True
94,запланирован,2017-06-01,2017-11-01,False
94,строится,2017-11-01,2020-06-01,False
94,введён,2020-06-01,,True
95,запланирован,2025-06-01,2026-04-01,False
95,строится,2026-04-01,,True
96,запланирован,2022-11-01,2024-02-01,False
96,строится,2024-02-01,2026-04-01,False
96,введён,2026-04-01,,True
97,запланирован,2020-12-01,2021-05-01,False
97,строится,2021-05-01,2024-06-01,False
97,введён,2024-06-01,,True
98,запланирован,2025-12-01,,True
99,запланирован,2025-12-01,2026-07-01,False
99,строится,2026-07-01,,True
100,запланирован,2022-10-01,2023-02-01,False
100,строится,2023-02-01,2024-03-01,False
100,введён,2024-03-01,,True
101,запланирован,2025-09-01,,True
102,запланирован,2024-02-01,2025-07-01,False
102,строится,2025-07-01,,True
103,запланирован,2026-11-01,,True
104,запланирован,2020-11-01,2022-01-01,False
104,строится,2022-01-01,2023-02-01,False
104,введён,2023-02-01,,True
105,запланирован,2024-10-01,2025-06-01,False
105,строится,2025-06-01,,True
106,запланирован,2024-07-01,2024-10-01,False
106,строится,2024-10-01,,True
107,запланирован,2018-05-01,2018-11-01,False
107,строится,2018-11-01,2019-07-01,False
107,введён,2019-07-01,,True
108,запланирован,2019-03-01,2019-09-01,False
108,строится,2019-09-01,2020-05-01,False
108,введён,2020-05-01,,True
109,запланирован,2017-10-01,2018-05-01,False
109,строится,2018-05-01,2020-03-01,False
109,введён,2020-03-01,,True
110,запланирован,2020-12-01,2022-02-01,False
110,строится,2022-02-01,2024-06-01,False
110,введён,2024-06-01,,True
111,запланирован,2025-09-01,,True
112,запланирован,2026-01-01,,True
113,запланирован,2018-10-01,2020-02-01,False
113,строится,2020-02-01,2023-09-01,False
113,введён,2023-09-01,,True
114,запланирован,2023-12-01,2025-02-01,False
114,строится,2025-02-01,,True
115,запланирован,2027-04-01,,True
116,запланирован,2025-01-01,2025-10-01,False
116,строится,2025-10-01,,True
117,запланирован,2024-04-01,2024-10-01,False
117,строится,2024-10-01,2026-04-01,False
117,введён,2026-04-01,,True
118,запланирован,2026-06-01,,True
119,запланирован,2023-02-01,2024-07-01,False
119,строится,2024-07-01,2025-04-01,False
119,введён,2025-04-01,,True
120,запланирован,2029-03-01,,True
121,запланирован,2022-05-01,2022-08-01,False
121,строится,2022-08-01,2026-04-01,False
121,введён,2026-04-01,,True
122,запланирован,2024-04-01,2025-04-01,False
122,строится,2025-04-01,,True
123,запланирован,2023-06-01,2024-09-01,False
123,строится,2024-09-01,,True
124,запланирован,2024-07-01,2025-12-01,False
124,строится,2025-12-01,,True
125,запланирован,2022-12-01,2024-02-01,False
125,строится,2024-02-01,,True
126,запланирован,2022-10-01,2023-07-01,False
126,строится,2023-07-01,,True
127,запланирован,2024-06-01,2025-04-01,False
127,строится,2025-04-01,,True
128,запланирован,2023-05-01,2024-09-01,False
128,строится,2024-09-01,2026-06-01,False
128,введён,2026-06-01,,True
129,запланирован,2021-06-01,2021-12-01,False
129,строится,2021-12-01,2022-11-01,False
129,введён,2022-11-01,,True
130,запланирован,2018-11-01,2019-05-01,False
130,строится,2019-05-01,2021-01-01,False
130,введён,2021-01-01,,True
131,запланирован,2024-05-01,2025-08-01,False
131,строится,2025-08-01,,True
132,запланирован,2021-04-01,2021-09-01,False
132,строится,2021-09-01,2023-03-01,False
132,введён,2023-03-01,,True
133,запланирован,2024-06-01,2025-02-01,False
133,строится,2025-02-01,2026-03-01,False
133,введён,2026-03-01,,True
134,запланирован,2023-02-01,2023-09-01,False
134,строится,2023-09-01,,True
135,запланирован,2022-06-01,2022-09-01,False
135,строится,2022-09-01,2025-07-01,False
135,введён,2025-07-01,,True
136,запланирован,2017-07-01,2018-07-01,False
136,строится,2018-07-01,2020-08-01,False
136,введён,2020-08-01,,True
137,запланирован,2024-02-01,2025-01-01,False
137,строится,2025-01-01,,True
138,запланирован,2017-05-01,2018-10-01,False
138,строится,2018-10-01,2020-05-01,False
138,введён,2020-05-01,,True
139,запланирован,2026-07-01,,True
140,запланирован,2023-02-01,2024-07-01,False
140,строится,2024-07-01,2025-12-01,False
140,введён,2025-12-01,,True
141,запланирован,2023-12-01,2025-04-01,False
141,строится,2025-04-01,,True
142,запланирован,2024-06-01,2025-11-01,False
142,строится,2025-11-01,2026-06-01,False
142,введён,2026-06-01,,True
143,запланирован,2023-07-01,2024-07-01,False
143,строится,2024-07-01,2026-04-01,False
143,введён,2026-04-01,,True
144,запланирован,2025-02-01,2026-05-01,False
144,строится,2026-05-01,,True
145,запланирован,2016-06-01,2017-11-01,False
145,строится,2017-11-01,2021-01-01,False
145,введён,2021-01-01,,True
146,запланирован,2024-07-01,2025-10-01,False
146,строится,2025-10-01,,True
147,запланирован,2026-12-01,,True
148,запланирован,2018-01-01,2019-04-01,False
148,строится,2019-04-01,2020-01-01,False
148,введён,2020-01-01,,True
149,запланирован,2026-06-01,,True
150,запланирован,2021-12-01,2022-05-01,False
150,строится,2022-05-01,2025-03-01,False
150,введён,2025-03-01,,True
151,запланирован,2025-10-01,,True
152,запланирован,2027-10-01,,True
153,запланирован,2016-02-01,2016-07-01,False
153,строится,2016-07-01,2020-03-01,False
153,введён,2020-03-01,,True
154,запланирован,2024-10-01,2025-01-01,False
154,строится,2025-01-01,,True
155,запланирован,2027-07-01,,True
156,запланирован,2023-12-01,2025-05-01,False
156,строится,2025-05-01,2026-02-01,False
156,введён,2026-02-01,,True
157,запланирован,2024-05-01,2025-02-01,False
157,строится,2025-02-01,,True
158,запланирован,2027-06-01,,True
159,запланирован,2022-02-01,2023-01-01,False
159,строится,2023-01-01,2026-01-01,False
159,введён,2026-01-01,,True
160,запланирован,2020-03-01,2020-07-01,False
160,строится,2020-07-01,2022-04-01,False
160,введён,2022-04-01,,True
161,запланирован,2019-11-01,2021-04-01,False
161,строится,2021-04-01,2024-11-01,False
161,введён,2024-11-01,,True
162,запланирован,2027-06-01,,True
163,запланирован,2028-08-01,,True
164,запланирован,2021-06-01,2022-07-01,False
164,строится,2022-07-01,2023-05-01,False
164,введён,2023-05-01,,True
165,запланирован,2020-05-01,2020-08-01,False
165,строится,2020-08-01,2022-03-01,False
165,введён,2022-03-01,,True
166,запланирован,2026-03-01,,True
167,запланирован,2026-05-01,,True
168,запланирован,2019-09-01,2020-10-01,False
168,строится,2020-10-01,2024-08-01,False
168,введён,2024-08-01,,True
169,запланирован,2020-02-01,2020-08-01,False
169,строится,2020-08-01,2021-12-01,False
169,введён,2021-12-01,,True
170,запланирован,2023-09-01,2024-10-01,False
170,строится,2024-10-01,,True
171,запланирован,2021-10-01,2023-01-01,False
171,строится,2023-01-01,2023-07-01,False
171,введён,2023-07-01,,True
172,запланирован,2021-10-01,2023-02-01,False
172,строится,2023-02-01,,True
173,запланирован,2021-11-01,2022-08-01,False
173,строится,2022-08-01,2024-08-01,False
173,введён,2024-08-01,,True
174,запланирован,2021-11-01,2022-03-01,False
174,строится,2022-03-01,2023-04-01,False
174,введён,2023-04-01,,True
175,запланирован,2016-09-01,2018-02-01,False
175,строится,2018-02-01,2022-01-01,False
175,введён,2022-01-01,,True
176,запланирован,2021-01-01,2021-12-01,False
176,строится,2021-12-01,2024-01-01,False
176,введён,2024-01-01,,True
177,запланирован,2026-12-01,,True
178,запланирован,2028-05-01,,True
179,запланирован,2027-04-01,,True
180,запланирован,2023-03-01,2024-01-01,False
180,строится,2024-01-01,,True
181,запланирован,2022-04-01,2022-12-01,False
181,строится,2022-12-01,2024-10-01,False
181,введён,2024-10-01,,True
182,запланирован,2023-03-01,2023-12-01,False
182,строится,2023-12-01,2024-12-01,False
182,введён,2024-12-01,,True
183,запланирован,2025-04-01,2026-01-01,False
183,строится,2026-01-01,,True
184,запланирован,2025-08-01,2026-05-01,False
184,строится,2026-05-01,,True
185,запланирован,2020-10-01,2021-02-01,False
185,строится,2021-02-01,2024-05-01,False
185,введён,2024-05-01,,True
186,запланирован,2027-12-01,,True
187,запланирован,2028-10-01,,True
188,запланирован,2020-08-01,2021-02-01,False
188,строится,2021-02-01,2022-07-01,False
188,введён,2022-07-01,,True
189,запланирован,2015-09-01,2016-03-01,False
189,строится,2016-03-01,2019-10-01,False
189,введён,2019-10-01,,True
190,запланирован,2023-10-01,2024-07-01,False
190,строится,2024-07-01,2026-03-01,False
190,введён,2026-03-01,,True
191,запланирован,2027-07-01,,True
192,запланирован,2026-07-01,,True
193,запланирован,2019-01-01,2020-04-01,False
193,строится,2020-04-01,2022-07-01,False
193,введён,2022-07-01,,True
194,запланирован,2027-12-01,,True
195,запланирован,2017-12-01,2018-04-01,False
195,строится,2018-04-01,2018-11-01,False
195,введён,2018-11-01,,True
196,запланирован,2016-07-01,2017-06-01,False
196,строится,2017-06-01,2020-06-01,False
196,введён,2020-06-01,,True
197,запланирован,2016-08-01,2017-06-01,False
197,строится,2017-06-01,2021-01-01,False
197,введён,2021-01-01,,True
198,запланирован,2023-07-01,2024-09-01,False
198,строится,2024-09-01,2025-09-01,False
198,введён,2025-09-01,,True
199,запланирован,2029-04-01,,True
200,запланирован,2018-10-01,2019-04-01,False
200,строится,2019-04-01,2021-05-01,False
200,введён,2021-05-01,,True
201,запланирован,2023-04-01,2024-03-01,False
201,строится,2024-03-01,2024-11-01,False
201,введён,2024-11-01,,True
202,запланирован,2021-06-01,2022-04-01,False
202,строится,2022-04-01,2024-02-01,False
202,введён,2024-02-01,,True
203,запланирован,2017-05-01,2018-08-01,False
203,строится,2018-08-01,2021-08-01,False
203,введён,2021-08-01,,True
204,запланирован,2021-12-01,2023-01-01,False
204,строится,2023-01-01,,True
205,запланирован,2016-08-01,2018-01-01,False
205,строится,2018-01-01,2019-12-01,False
205,введён,2019-12-01,,True
206,запланирован,2023-09-01,2024-05-01,False
206,строится,2024-05-01,2025-05-01,False
206,введён,2025-05-01,,True
207,запланирован,2021-02-01,2021-06-01,False
207,строится,2021-06-01,2025-01-01,False
207,введён,2025-01-01,,True
208,запланирован,2022-04-01,2022-09-01,False
208,строится,2022-09-01,2026-01-01,False
208,введён,2026-01-01,,True
209,запланирован,2026-10-01,,True
210,запланирован,2020-12-01,2022-02-01,False
210,строится,2022-02-01,2024-03-01,False
210,введён,2024-03-01,,True
211,запланирован,2026-09-01,,True
212,запланирован,2027-03-01,,True
213,запланирован,2025-03-01,2025-12-01,False
213,строится,2025-12-01,,True
214,запланирован,2018-12-01,2020-02-01,False
214,строится,2020-02-01,2023-11-01,False
214,введён,2023-11-01,,True
215,запланирован,2025-01-01,2025-04-01,False
215,строится,2025-04-01,,True
216,запланирован,2019-10-01,2020-11-01,False
216,строится,2020-11-01,2021-11-01,False
216,введён,2021-11-01,,True
217,запланирован,2021-11-01,2022-04-01,False
217,строится,2022-04-01,2025-01-01,False
217,введён,2025-01-01,,True
218,запланирован,2024-10-01,2026-03-01,False
218,строится,2026-03-01,,True
219,запланирован,2025-12-01,2026-04-01,False
219,строится,2026-04-01,,True
220,запланирован,2027-04-01,,True
221,запланирован,2020-09-01,2020-12-01,False
221,строится,2020-12-01,2024-07-01,False
221,введён,2024-07-01,,True
222,запланирован,2018-12-01,2019-11-01,False
222,строится,2019-11-01,2021-02-01,False
222,введён,2021-02-01,,True
223,запланирован,2020-04-01,2021-03-01,False
223,строится,2021-03-01,2022-09-01,False
223,введён,2022-09-01,,True
224,запланирован,2029-06-01,,True
225,запланирован,2017-08-01,2018-01-01,False
225,строится,2018-01-01,2021-04-01,False
225,введён,2021-04-01,,True
226,запланирован,2016-11-01,2017-09-01,False
226,строится,2017-09-01,2021-04-01,False
226,введён,2021-04-01,,True
227,запланирован,2021-06-01,2022-03-01,False
227,строится,2022-03-01,2024-06-01,False
227,введён,2024-06-01,,True
228,запланирован,2020-05-01,2021-05-01,False
228,строится,2021-05-01,2024-06-01,False
228,введён,2024-06-01,,True
229,запланирован,2019-11-01,2020-03-01,False
229,строится,2020-03-01,2020-09-01,False
229,введён,2020-09-01,,True
230,запланирован,2019-03-01,2019-12-01,False
230,строится,2019-12-01,2020-09-01,False
230,введён,2020-09-01,,True
231,запланирован,2022-01-01,2022-11-01,False
231,строится,2022-11-01,2024-07-01,False
231,введён,2024-07-01,,True
232,запланирован,2024-09-01,2025-08-01,False
232,строится,2025-08-01,,True
233,запланирован,2026-01-01,2026-04-01,False
233,строится,2026-04-01,,True
234,запланирован,2019-05-01,2020-06-01,False
234,строится,2020-06-01,2022-05-01,False
234,введён,2022-05-01,,True
235,запланирован,2019-01-01,2020-01-01,False
235,строится,2020-01-01,2020-10-01,False
235,введён,2020-10-01,,True
236,запланирован,2020-05-01,2020-11-01,False
236,строится,2020-11-01,2022-07-01,False
236,введён,2022-07-01,,True
237,запланирован,2018-07-01,2019-10-01,False
237,строится,2019-10-01,2020-04-01,False
237,введён,2020-04-01,,True
238,запланирован,2027-09-01,,True
239,запланирован,2015-02-01,2016-02-01,False
239,строится,2016-02-01,2019-11-01,False
239,введён,2019-11-01,,True
240,запланирован,2024-02-01,2024-12-01,False
240,строится,2024-12-01,,True
241,запланирован,2020-07-01,2021-06-01,False
241,строится,2021-06-01,2023-06-01,False
241,введён,2023-06-01,,True
242,запланирован,2015-09-01,2016-12-01,False
242,строится,2016-12-01,2018-10-01,False
242,введён,2018-10-01,,True
243,запланирован,2018-10-01,2019-07-01,False
243,строится,2019-07-01,2020-04-01,False
243,введён,2020-04-01,,True
244,запланирован,2027-09-01,,True
245,запланирован,2023-04-01,2024-06-01,False
245,строится,2024-06-01,,True
246,запланирован,2024-10-01,2025-02-01,False
246,строится,2025-02-01,,True
247,запланирован,2025-09-01,2026-05-01,False
247,строится,2026-05-01,,True
248,запланирован,2015-06-01,2016-10-01,False
248,строится,2016-10-01,2020-04-01,False
248,введён,2020-04-01,,True
249,запланирован,2022-04-01,2023-01-01,False
249,строится,2023-01-01,2025-03-01,False
249,введён,2025-03-01,,True
250,запланирован,2026-11-01,,True
251,запланирован,2016-11-01,2017-05-01,False
251,строится,2017-05-01,2020-01-01,False
251,введён,2020-01-01,,True
252,запланирован,2022-09-01,2023-08-01,False
252,строится,2023-08-01,,True
253,запланирован,2023-03-01,2023-08-01,False
253,строится,2023-08-01,,True
254,запланирован,2021-07-01,2021-10-01,False
254,строится,2021-10-01,2024-06-01,False
254,введён,2024-06-01,,True
255,запланирован,2025-09-01,2026-07-01,False
255,строится,2026-07-01,,True
256,запланирован,2020-12-01,2021-10-01,False
256,строится,2021-10-01,2023-04-01,False
256,введён,2023-04-01,,True
257,запланирован,2023-07-01,2024-05-01,False
257,строится,2024-05-01,2024-12-01,False
257,введён,2024-12-01,,True
258,запланирован,2022-03-01,2022-07-01,False
258,строится,2022-07-01,2023-09-01,False
258,введён,2023-09-01,,True
259,запланирован,2024-11-01,2025-05-01,False
259,строится,2025-05-01,,True
260,запланирован,2023-10-01,2024-04-01,False
260,строится,2024-04-01,2026-02-01,False
260,введён,2026-02-01,,True
261,запланирован,2021-01-01,2022-03-01,False
261,строится,2022-03-01,2024-03-01,False
261,введён,2024-03-01,,True
262,запланирован,2030-11-01,,True
263,запланирован,2022-08-01,2023-04-01,False
263,строится,2023-04-01,,True
264,запланирован,2029-02-01,,True
265,запланирован,2021-02-01,2021-09-01,False
265,строится,2021-09-01,2023-02-01,False
265,введён,2023-02-01,,True
266,запланирован,2028-07-01,,True
267,запланирован,2025-07-01,,True
268,запланирован,2020-04-01,2021-01-01,False
268,строится,2021-01-01,2023-10-01,False
268,введён,2023-10-01,,True
269,запланирован,2026-01-01,2026-04-01,False
269,строится,2026-04-01,,True
270,запланирован,2016-10-01,2017-12-01,False
270,строится,2017-12-01,2019-12-01,False
270,введён,2019-12-01,,True
271,запланирован,2026-08-01,,True
272,запланирован,2023-08-01,2024-11-01,False
272,строится,2024-11-01,2025-12-01,False
272,введён,2025-12-01,,True
273,запланирован,2027-11-01,,True
274,запланирован,2016-02-01,2016-10-01,False
274,строится,2016-10-01,2020-07-01,False
274,введён,2020-07-01,,True
275,запланирован,2024-03-01,2025-02-01,False
275,строится,2025-02-01,2026-04-01,False
275,введён,2026-04-01,,True
276,запланирован,2025-09-01,2026-05-01,False
276,строится,2026-05-01,,True
277,запланирован,2018-08-01,2020-01-01,False
277,строится,2020-01-01,2020-10-01,False
277,введён,2020-10-01,,True
278,запланирован,2020-12-01,2022-04-01,False
278,строится,2022-04-01,2024-12-01,False
278,введён,2024-12-01,,True
279,запланирован,2018-04-01,2019-07-01,False
279,строится,2019-07-01,2022-11-01,False
279,введён,2022-11-01,,True
280,запланирован,2022-12-01,2024-04-01,False
280,строится,2024-04-01,2025-08-01,False
280,введён,2025-08-01,,True
281,запланирован,2019-03-01,2020-05-01,False
281,строится,2020-05-01,2022-03-01,False
281,введён,2022-03-01,,True
282,запланирован,2018-02-01,2019-07-01,False
282,строится,2019-07-01,2020-11-01,False
282,введён,2020-11-01,,True
283,запланирован,2027-03-01,,True
284,запланирован,2014-04-01,2015-06-01,False
284,строится,2015-06-01,2018-11-01,False
284,введён,2018-11-01,,True
285,запланирован,2025-12-01,2026-05-01,False
285,строится,2026-05-01,,True
286,запланирован,2022-07-01,2023-05-01,False
286,строится,2023-05-01,2025-08-01,False
286,введён,2025-08-01,,True
287,запланирован,2024-04-01,2025-02-01,False
287,строится,2025-02-01,,True
288,запланирован,2018-07-01,2019-11-01,False
288,строится,2019-11-01,2023-01-01,False
288,введён,2023-01-01,,True
289,запланирован,2021-12-01,2023-04-01,False
289,строится,2023-04-01,2024-12-01,False
289,введён,2024-12-01,,True
290,запланирован,2016-01-01,2017-02-01,False
290,строится,2017-02-01,2019-03-01,False
290,введён,2019-03-01,,True
291,запланирован,2025-12-01,,True
292,запланирован,2016-01-01,2017-05-01,False
292,строится,2017-05-01,2020-05-01,False
292,введён,2020-05-01,,True
293,запланирован,2017-09-01,2018-04-01,False
293,строится,2018-04-01,2021-06-01,False
293,введён,2021-06-01,,True
294,запланирован,2020-10-01,2022-01-01,False
294,строится,2022-01-01,2023-06-01,False
294,введён,2023-06-01,,True
295,запланирован,2021-10-01,2023-01-01,False
295,строится,2023-01-01,2024-04-01,False
295,введён,2024-04-01,,True
296,запланирован,2027-01-01,,True
297,запланирован,2024-10-01,2026-02-01,False
297,строится,2026-02-01,,True
298,запланирован,2021-11-01,2022-05-01,False
298,строится,2022-05-01,2022-11-01,False
298,введён,2022-11-01,,True
299,запланирован,2020-05-01,2021-02-01,False
299,строится,2021-02-01,2023-01-01,False
299,введён,2023-01-01,,True
300,запланирован,2026-07-01,,True
301,запланирован,2017-01-01,2018-06-01,False
301,строится,2018-06-01,2020-04-01,False
301,введён,2020-04-01,,True
302,запланирован,2024-02-01,2024-07-01,False
302,строится,2024-07-01,,True
303,запланирован,2018-07-01,2019-11-01,False
303,строится,2019-11-01,2021-02-01,False
303,введён,2021-02-01,,True
304,запланирован,2023-06-01,2023-12-01,False
304,строится,2023-12-01,,True
