object_id,developer_id,region_id,planned_year,planned_quarter
397,10571,1,2025,1
398,11129,1,2019,3
399,11055,1,2020,1
400,6345,4,2029,3
401,28410,7,2022,2
402,13519,7,2021,1
403,18761,7,2021,4
404,10782,8,2026,4
405,16380,9,2029,3
406,18840,9,2028,4
407,9123,14,2023,2
408,20422,14,2025,1
409,17543,16,2030,4
410,11166,16,2022,4
411,23366,16,2029,1
412,24846,27,2027,1
413,24971,27,2027,1
414,28928,27,2020,4
415,17818,27,2027,4
416,13697,27,2024,2
417,22662,27,2025,2
418,10979,23,2027,3
419,11408,24,2029,4
420,12141,24,2026,4
421,10398,24,2027,3
422,32123,24,2023,3
423,43952,24,2019,1
424,3635,24,2020,3
425,11106,35,2025,2
426,8017,38,2026,4
427,11042,44,2025,2
428,530,37,2030,1
429,20031,34,2028,1
430,17563,34,2024,2
431,11148,52,2019,3
432,10745,41,2027,3
433,17485,41,2028,1
434,18586,55,2030,3
435,40650,55,2022,1
436,18565,55,2020,1
437,1405,55,2019,4
438,11150,58,2024,1
439,9748,62,2023,3
440,27013,71,2019,4
441,39574,71,2023,4
442,18767,71,2030,2
443,11048,2,2025,2
444,7805,3,2030,2
445,28570,5,2028,2
446,3224,7,2020,1
447,10625,7,2022,4
448,15871,10,2023,2
449,18622,10,2021,4
450,6458,10,2025,2
451,11290,10,2019,4
452,11062,10,2028,2
453,11193,13,2026,4
454,1336,13,2024,4
455,17455,14,2023,1
456,11271,14,2024,2
457,17845,14,2020,2
458,19515,14,2021,4
459,11171,14,2029,1
460,22276,14,2019,4
461,20572,14,2019,4
462,28892,14,2027,2
463,11147,15,2026,4
464,16956,15,2023,1
465,7719,16,2027,1
466,11398,16,2025,3
467,10922,16,2023,2
468,6787,18,2025,4
469,19205,23,2021,4
470,28194,23,2029,3
471,8304,24,2028,3
472,13446,34,2029,2
473,36997,34,2026,1
474,38910,34,2020,3
475,40986,51,2021,1
476,22244,51,2027,4
477,10895,1,2021,4
478,8744,5,2028,4
479,11217,6,2023,4
480,1272,7,2020,4
481,7626,7,2027,1
482,11345,8,2030,3
483,10873,8,2026,4
484,11352,12,2020,2
485,1369,16,2025,4
486,21421,21,2023,2
487,11394,23,2025,2
488,18883,24,2019,2
489,7637,28,2029,2
490,78,28,2027,3
491,156,28,2027,3
492,18358,28,2029,3
493,13603,28,2030,4
494,6884,28,2029,2
495,20215,28,2029,2
496,15941,28,2021,4
497,24527,28,2019,2
498,18615,28,2027,3
499,33981,28,2029,2
500,13278,28,2019,3
501,6889,28,2027,2
502,16106,28,2024,3
503,14786,25,2021,1
504,17783,37,2019,2
505,14828,37,2024,3
506,2995,37,2027,2
507,11252,30,2030,1
508,10413,60,2019,1
509,10887,62,2025,3
510,10624,70,2022,3
511,10837,68,2027,1
512,10742,4,2026,2
513,2458,4,2026,4
514,7175,4,2019,2
515,6582,4,2028,1
516,4054,4,2022,1
517,17621,4,2028,3
518,16883,4,2025,2
519,18794,4,2027,3
520,18585,4,2029,1
521,18432,4,2027,2
522,3742,7,2030,2
523,28979,11,2019,1
524,21512,11,2023,2
525,23931,11,2022,1
526,3473,23,2027,2
527,2566,25,2026,3
528,11181,26,2024,3
529,11408,44,2026,4
530,12141,44,2023,2
531,10398,44,2027,3
532,32123,44,2029,2
533,43952,44,2026,3
534,3635,44,2021,1
535,16452,30,2019,2
536,12915,30,2019,4
537,6336,30,2025,3
538,11376,30,2023,1
539,10936,30,2020,2
540,11426,37,2020,1
541,17507,55,2024,2
542,11640,55,2029,2
543,11337,57,2025,2
544,10660,62,2024,1
545,13935,63,2029,1
546,15269,63,2029,1
547,15554,63,2027,1
548,24212,63,2030,4
549,2100,63,2019,3
550,37995,63,2020,2
551,12765,63,2029,3
552,11410,1,2026,1
553,10891,4,2022,1
554,28784,8,2030,2
555,18743,8,2020,3
556,14191,8,2029,1
557,12170,16,2019,3
558,11574,16,2028,1
559,11836,17,2025,1
560,24465,38,2023,2
561,16572,38,2022,4
562,15027,25,2019,4
563,17768,25,2030,1
564,10934,37,2025,3
565,11228,53,2022,4
566,12136,56,2026,2
567,7940,75,2028,4
568,22337,75,2022,3
569,10421,71,2026,4
570,2579,63,2025,3
571,7813,63,2030,3
572,13516,63,2023,4
573,22455,63,2020,1
574,11326,1,2021,2
575,10982,8,2025,1
576,11703,8,2025,4
577,10511,13,2026,1
578,12279,14,2020,3
579,11382,17,2027,4
580,11541,27,2020,1
581,16625,29,2029,2
582,10526,29,2030,3
583,25861,18,2024,4
584,21207,18,2029,2
585,33756,18,2028,4
586,12341,18,2025,2
587,42749,18,2027,1
588,713,18,2020,3
589,11989,24,2030,4
590,12381,22,2025,1
591,11962,22,2022,2
592,11408,28,2019,4
593,12141,28,2029,4
594,10398,28,2019,2
595,32123,28,2021,1
596,43952,28,2023,1
597,3635,28,2023,4
598,6618,30,2022,3
599,11446,32,2021,2
600,14346,52,2030,3
601,11023,63,2028,3
602,10388,3,2028,1
603,16166,3,2021,3
604,21513,3,2019,4
605,33893,3,2030,4
606,12302,7,2029,1
607,12144,6,2026,1
608,18735,9,2027,1
609,12785,11,2027,2
610,18625,16,2024,3
611,12237,19,2027,3
612,14499,19,2025,4
613,6452,19,2022,3
614,12118,30,2021,4
615,12247,37,2030,3
616,16595,37,2028,4
617,14937,37,2025,4
618,17879,37,2023,3
619,12621,34,2019,2
620,15876,41,2028,1
621,2458,41,2024,3
622,7175,41,2030,1
623,6582,41,2029,2
624,4054,41,2024,2
625,17621,41,2022,3
626,16883,41,2023,4
627,18794,41,2021,2
628,18585,41,2025,3
629,18432,41,2025,3
630,12546,43,2029,4
631,12282,64,2020,4
632,11607,48,2026,1
633,3962,70,2024,1
634,23387,70,2024,1
635,10001,70,2022,2
636,571,70,2029,2
637,10466,70,2022,1
638,1138,63,2026,3
639,12842,1,2029,3
640,2438,2,2029,4
641,6098,2,2021,2
642,28520,2,2028,4
643,20350,2,2030,2
644,11304,2,2028,2
645,27447,2,2025,4
646,16796,2,2026,1
647,6800,3,2027,1
648,40394,4,2021,2
649,19020,4,2030,1
650,23019,4,2024,3
651,17406,4,2028,2
652,12840,4,2025,4
653,12534,7,2029,3
654,10907,7,2024,3
655,24846,6,2021,3
656,24971,6,2028,4
657,28928,6,2019,3
658,17818,6,2021,4
659,13697,6,2030,2
660,22662,6,2021,4
661,15396,9,2025,3
662,24600,9,2019,3
663,2513,9,2022,4
664,33828,9,2029,2
665,8086,9,2019,4
666,17412,9,2021,4
667,12924,13,2020,4
668,12553,13,2020,2
669,10285,17,2027,3
670,12909,14,2027,3
671,12675,14,2021,2
672,11545,14,2021,2
673,551,14,2022,1
674,9482,14,2027,1
675,12758,19,2020,2
676,12871,29,2020,3
677,17074,29,2027,1
678,9088,31,2023,4
679,13935,30,2028,2
680,15269,30,2026,3
681,15554,30,2023,1
682,24212,30,2025,3
683,2100,30,2024,3
684,37995,30,2019,2
685,12765,30,2021,2
686,12961,30,2019,3
687,12658,34,2026,2
688,11847,26,2028,2
689,12464,39,2025,3
690,28232,39,2019,2
691,12408,43,2020,1
692,31295,64,2026,3
693,11417,83,2021,4
694,12574,3,2030,2
695,13004,5,2027,1
696,13090,13,2019,2
697,15555,15,2024,2
698,18497,27,2028,4
699,20587,27,2020,3
700,26273,23,2021,3
701,19007,19,2021,3
702,12922,29,2021,1
703,12767,29,2020,4
704,8929,35,2021,4
705,19445,20,2023,3
706,17642,25,2019,4
707,22430,25,2029,1
708,20207,25,2021,3
709,8521,25,2025,4
710,11994,25,2021,2
711,12202,39,2020,3
712,12241,26,2027,2
713,803,40,2024,1
714,33695,57,2027,4
715,12937,64,2028,3
716,13091,1,2022,1
717,13180,1,2020,4
718,18452,9,2023,2
719,13154,10,2028,1
720,12927,18,2028,2
721,17410,20,2022,3
722,12096,31,2027,3
723,12718,33,2028,3
724,12313,40,2029,3
725,18839,51,2021,3
726,7354,49,2023,4
727,3493,49,2027,1
728,7304,1,2027,2
729,13073,1,2027,2
730,16452,4,2025,1
731,12915,4,2023,3
732,6336,4,2028,2
733,13174,4,2029,3
734,10767,5,2022,3
735,18466,5,2028,2
736,35916,5,2019,2
737,12737,6,2028,3
738,12405,9,2028,2
739,12640,9,2021,1
740,12319,9,2019,1
741,19412,9,2028,3
742,16501,9,2026,3
743,13235,15,2024,2
744,13117,15,2022,2
745,2646,15,2026,3
746,904,15,2019,3
747,7257,15,2019,2
748,13238,11,2026,2
749,13172,16,2021,3
750,13971,14,2022,4
751,12544,14,2029,1
752,7037,14,2025,3
753,26916,14,2025,1
754,16305,14,2025,4
755,11902,19,2022,3
756,12893,35,2029,1
757,17642,24,2019,3
758,22430,24,2024,2
759,20207,24,2023,1
760,8521,24,2024,4
761,7956,38,2022,2
762,2383,38,2030,1
763,17266,38,2022,4
764,12703,34,2022,3
765,12869,34,2027,1
766,11941,40,2026,1
767,13240,78,2024,4
768,13171,1,2029,1
769,13476,3,2024,3
770,18505,2,2030,1
771,13138,2,2022,1
772,12592,7,2029,3
773,22794,8,2020,4
774,13131,8,2025,2
775,13197,8,2020,3
776,17048,9,2028,3
777,13574,9,2022,4
778,32143,9,2022,4
779,28452,9,2022,2
780,32859,9,2028,4
781,13057,11,2024,1
782,10789,16,2028,1
783,11902,29,2029,2
784,12252,29,2023,1
785,13369,29,2028,3
786,17867,29,2027,4
787,9844,28,2021,4
788,36591,28,2022,1
789,17164,28,2023,2
790,15183,28,2025,4
791,16404,28,2028,3
792,28145,28,2022,4
793,13196,20,2030,2
794,12386,40,2027,4
795,13265,40,2027,2
796,13477,51,2023,2
797,27013,53,2030,3
798,39574,53,2030,3
799,18767,53,2021,2
800,1433,56,2029,4
801,16422,56,2021,4
802,23435,56,2029,2
803,13454,45,2027,3
804,3871,59,2027,3
805,27754,59,2029,2
806,40715,59,2028,2
807,13348,68,2026,3
808,13292,68,2021,2
809,917,71,2026,4
810,13392,71,2028,3
811,25816,71,2020,4
812,13421,67,2023,1
813,19445,2,2030,3
814,13620,7,2025,4
815,27058,7,2027,3
816,8117,7,2027,1
817,18612,7,2022,3
818,24723,7,2019,4
819,13368,8,2019,3
820,19045,8,2028,4
821,23596,8,2020,2
822,135,8,2025,4
823,24905,8,2022,2
824,34535,8,2022,2
825,17328,8,2030,2
826,8975,8,2028,4
827,5513,8,2020,1
828,13586,9,2020,2
829,17487,15,2019,4
830,17314,15,2025,4
831,17711,15,2028,4
832,13542,15,2024,3
833,12628,15,2019,4
834,17608,12,2025,3
835,18527,12,2019,4
836,36210,12,2027,3
837,34051,12,2020,4
838,9077,16,2023,4
839,21261,16,2021,2
840,17596,16,2022,2
841,12360,16,2022,4
842,1228,16,2019,2
843,41447,16,2024,3
844,16219,29,2021,2
845,15609,29,2030,1
846,18507,29,2021,2
847,7854,29,2027,4
848,17146,14,2020,1
849,17781,14,2030,2
850,24859,14,2020,3
851,17137,14,2028,1
852,12570,14,2024,4
853,14731,14,2021,4
854,6744,14,2028,3
855,37314,14,2029,1
856,11906,19,2022,4
857,10854,24,2019,3
858,22646,28,2023,3
859,22125,28,2023,1
860,30029,44,2028,1
861,13453,44,2025,1
862,13157,32,2026,4
863,13213,40,2029,2
864,34715,37,2029,3
865,44030,37,2024,3
866,16862,37,2027,4
867,13155,37,2019,1
868,17315,37,2027,3
869,17171,37,2019,2
870,28896,46,2023,2
871,2671,46,2024,3
872,13417,46,2028,4
873,23353,46,2025,3
874,13294,57,2023,1
875,14790,74,2022,2
876,13245,74,2023,3
877,2071,1,2025,1
878,12935,3,2030,4
879,13562,3,2024,3
880,9383,3,2029,3
881,13615,12,2020,3
882,11814,29,2025,1
883,3962,29,2025,1
884,23387,29,2024,2
885,10001,29,2020,1
886,571,29,2029,1
887,10466,29,2024,2
888,13451,16,2029,3
889,13595,17,2026,3
890,2415,14,2025,1
891,12932,14,2030,3
892,12756,27,2019,4
893,12810,18,2019,3
894,17756,18,2019,3
895,13293,18,2026,3
896,7924,25,2026,1
897,39403,25,2030,4
898,13124,25,2029,4
899,18872,25,2021,4
900,15186,25,2024,1
901,16637,25,2027,1
902,16381,25,2026,1
903,71,25,2024,3
904,17848,25,2030,3
905,17355,25,2025,1
906,13668,28,2027,3
907,13614,21,2022,2
908,11771,31,2030,4
909,13344,44,2021,4
910,13645,44,2024,4
911,30028,44,2019,1
912,10379,44,2022,4
913,24149,44,2023,4
914,13676,34,2022,1
915,17801,34,2027,1
916,25576,34,2021,3
917,13360,37,2024,4
918,22248,40,2026,2
919,18788,40,2030,2
920,13641,40,2025,2
921,11261,46,2019,4
922,13144,65,2030,4
923,17631,58,2019,2
924,13329,58,2020,2
925,25347,58,2023,2
926,13621,48,2023,3
927,13689,78,2023,2
928,14482,78,2024,1
929,2158,78,2019,3
930,13810,78,2029,4
931,12824,1,2022,1
932,9532,1,2020,3
933,6434,3,2024,1
934,29586,4,2029,4
935,13572,4,2025,1
936,13679,4,2030,4
937,6333,5,2030,4
938,7316,5,2028,3
939,5159,9,2027,1
940,15610,9,2020,1
941,20201,9,2028,1
942,6107,9,2026,4
943,13769,11,2019,3
944,13715,12,2021,4
945,13624,16,2026,2
946,15281,16,2023,4
947,13575,16,2029,2
948,13364,16,2020,2
949,17447,22,2025,2
950,13373,19,2020,3
951,17337,19,2028,4
952,14314,19,2026,4
953,13187,24,2019,2
954,13625,25,2026,3
955,13509,21,2020,2
956,12671,21,2028,1
957,13680,21,2028,3
958,22302,44,2027,3
959,13626,44,2029,3
960,10853,41,2028,2
961,15980,55,2022,3
962,27512,55,2024,2
963,13471,55,2028,3
964,13785,57,2025,1
965,17174,64,2025,4
966,1188,64,2023,1
967,18518,64,2028,1
968,4082,71,2020,2
969,16552,71,2021,2
970,13611,66,2025,1
971,7904,72,2019,1
972,13827,1,2030,4
973,17140,4,2027,4
974,13813,5,2023,1
975,13853,9,2025,2
976,1576,11,2024,4
977,13549,26,2026,1
978,13764,52,2026,2
979,13671,47,2020,3
980,13814,47,2022,3
981,13250,51,2024,4
982,6881,48,2029,2
983,37180,67,2027,4
984,3049,67,2023,4
985,16983,67,2027,3
986,13205,67,2025,4
987,10863,58,2027,3
988,15203,1,2028,3
989,24528,1,2022,2
990,14022,1,2019,1
991,11079,4,2021,1
992,12828,4,2026,2
993,13667,7,2030,3
994,13521,6,2027,1
995,13661,8,2020,2
996,3962,9,2025,3
997,23387,9,2028,2
998,10001,9,2024,4
999,571,9,2021,2
1000,10466,9,2029,3
1001,17792,11,2030,2
1002,17729,10,2021,1
1003,13457,29,2029,2
1004,17048,23,2026,2
1005,13574,23,2022,1
1006,32143,23,2020,4
1007,28452,23,2027,3
1008,32859,23,2019,1
1009,13861,23,2023,4
1010,13165,18,2028,4
1011,12436,19,2023,1
1012,13815,21,2030,4
1013,13339,38,2027,3
1014,13951,34,2020,1
1015,13106,40,2019,4
1016,19287,40,2025,4
1017,37433,40,2025,3
1018,26050,40,2025,1
1019,37342,40,2020,3
1020,13824,48,2029,1
1021,13987,67,2030,1
1022,13937,66,2026,1
1023,11322,62,2020,1
1024,14089,1,2021,1
1025,13935,1,2020,2
1026,15269,1,2020,1
1027,15554,1,2024,4
1028,24212,1,2026,3
1029,2100,1,2022,3
1030,37995,1,2020,3
1031,12765,1,2025,4
1032,13719,1,2023,3
1033,14153,5,2020,3
1034,1640,5,2030,3
1035,23090,5,2023,3
1036,14062,5,2021,4
1037,2311,5,2020,1
1038,14151,8,2024,1
1039,13618,9,2020,1
1040,16902,11,2030,1
1041,19355,11,2030,3
1042,32247,11,2024,4
1043,15821,11,2025,4
1044,19487,11,2027,3
1045,10571,11,2023,2
1046,14117,11,2026,2
1047,6156,10,2022,3
1048,17642,29,2022,3
1049,22430,29,2022,4
1050,20207,29,2030,4
1051,8521,29,2023,1
1052,13389,27,2020,3
1053,14038,18,2025,4
1054,13971,19,2027,1
1055,12544,19,2027,4
1056,7037,19,2024,1
1057,26916,19,2021,2
1058,16305,19,2028,4
1059,14181,35,2030,3
1060,1854,30,2027,4
1061,14165,45,2020,2
1062,13770,36,2030,3
1063,14007,67,2024,3
1064,3948,49,2024,2
1065,13446,1,2019,3
1066,36997,1,2024,1
1067,38910,1,2024,4
1068,14174,1,2029,1
1069,1119,3,2021,4
1070,40585,3,2027,4
1071,17684,3,2029,3
1072,6202,3,2024,2
1073,3877,3,2021,3
1074,19404,3,2020,4
1075,20310,3,2024,4
1076,16480,3,2027,1
1077,9318,3,2027,2
1078,14080,3,2023,2
1079,20079,3,2021,4
1080,17283,3,2020,3
1081,13619,4,2026,4
1082,14634,4,2026,2
1083,14150,7,2027,1
1084,13214,7,2023,2
1085,13298,8,2025,1
1086,14309,11,2021,4
1087,12718,11,2019,1
1088,13789,10,2021,2
1089,13653,14,2024,1
1090,14334,14,2028,2
1091,14183,24,2025,2
1092,13856,24,2024,1
1093,19189,33,2025,2
1094,2458,33,2030,1
1095,7175,33,2025,4
1096,6582,33,2026,1
1097,4054,33,2029,4
1098,17621,33,2020,3
1099,16883,33,2025,2
1100,18794,33,2024,4
1101,18585,33,2023,1
1102,18432,33,2029,3
1103,35699,42,2019,1
1104,14996,42,2027,3
1105,16108,40,2028,1
1106,13712,40,2023,3
1107,18340,40,2021,4
1108,11432,48,2028,4
1109,16543,62,2022,1
1110,13373,71,2022,1
1111,17337,71,2020,1
1112,14314,71,2029,1
1113,6881,77,2024,2
1114,10627,78,2021,4
1115,13846,78,2020,2
1116,28805,1,2021,4
1117,12439,1,2026,3
1118,14423,3,2028,2
1119,14312,4,2021,3
1120,13380,4,2022,4
1121,14382,7,2023,3
1122,14073,8,2019,1
1123,14209,8,2022,3
1124,12743,9,2029,1
1125,28453,9,2023,3
1126,43811,9,2027,3
1127,12435,9,2020,3
1128,22265,9,2019,3
1129,12895,11,2027,3
1130,14172,11,2022,2
1131,15576,15,2022,2
1132,14465,15,2028,4
1133,14234,15,2024,2
1134,14232,29,2026,2
1135,9487,29,2020,1
1136,17543,12,2025,2
1137,11166,12,2021,2
1138,2460,12,2025,4
1139,8914,14,2024,2
1140,14286,14,2030,4
1141,14496,14,2023,4
1142,15857,14,2030,1
1143,13793,19,2019,4
1144,17362,18,2022,4
1145,8914,35,2019,3
1146,14286,35,2022,4
1147,14496,35,2026,4
1148,15857,35,2028,4
1149,13891,35,2019,1
1150,7671,22,2024,4
1151,13935,24,2021,1
