developer_id,developer_name,developer_inn,developer_ogrn,active_projects,total_construction_volume,living_construction_volume,avg_project_floors,regions_count
11543,СБЕРСИТИ,5024093941,1085024000698,21,386499.53,191995.04,10.86,1
15938,СЗ САМОЛЕТ СЕВЕРО-ЗАПАД,7813632175,1197847055691,24,372750.72,247733.51,10.46,1
728,СЗ РАЗВИТИЕ И ПАРТНЕРЫ,3662234359,1163668097229,6,362948.73,132545.16,19.00,1
1205,ЖИЛСТРОЙИНДУСТРИЯ,3525108923,1033500040530,25,362944.72,144370.34,13.72,1
14655,СЗ КП №5,6163222120,1216100005550,5,362356.77,192947.62,21.60,1
17078,СЗ СЕТУНЬ АЛГ,7730504250,1047796133330,2,351696.53,168864.26,43.00,1
18944,СЗ СТРОЙКАПИТАЛ,9731123420,1237700737295,2,343659.48,191916.71,66.50,1
13820,СЗ ТПУ ТЕРЕХОВО 9,9709057162,1197746703032,3,342935.50,174812.70,22.00,1
16400,СЗ САМОЛЕТ-НОВОСАРАТОВКА,4706047569,1224700005573,15,342162.63,235459.16,17.27,1
12944,СЗ НОРД СИТИ,7810781281,1197847230932,20,332113.38,167398.89,6.00,1
17741,СЗ НОВЫЕ ТЕХНОЛОГИИ,2366034887,1222300017213,13,328854.30,162499.50,12.69,1
30226,СЗ-ЭВЕРЕСТ,9403030036,1249400003753,15,324885.09,136668.78,9.07,1
14557,СЗ ГРАНДСОЮЗИНВЕСТ,7704802677,1127746164204,4,324241.60,128632.00,11.50,1
1304,СЗ ГРАДОЛИМП,7703788074,1137746339720,10,321290.44,193864.23,10.00,1
30594,СЗ СТРАНА СИТИ,9704228030,1237700810269,1,316233.40,137341.60,101.00,1
18880,СЗ ЭПОХА,9729332579,1227700701392,3,313795.70,152434.00,24.67,1
12545,СЗСЕМЬЯ-НОВОРОССИЙСК-2,2315215130,1202300001441,32,310280.32,142619.27,10.41,1
12234,СЗ КОНЦЕПТ ИММО ДЕВЕЛОПМЕНТ,7703529947,1047796752926,8,308981.47,130972.80,7.63,1
13827,СЗ АПД,9705087889,1177746118329,4,307379.20,225357.80,65.00,1
2438,СЗ РАЗВИТИЕ,5032085920,1035006456650,5,306984.80,149769.70,40.20,1
1119,СЗ НОВЫЙ ГОРОД,2464057265,1042402522150,7,306596.97,158197.36,16.43,1
15702,СЗ ТЕРРИТОРИЯ КОМФОРТА,7708333271,1187746672222,6,305475.46,189695.90,21.67,1
19270,СЗ ГУД-СИТИ,7714429768,1187746707191,6,303209.50,205206.90,52.50,1
23923,СЗ АНАПА СИТИ,2312319928,1232300037012,15,301320.30,112714.45,7.27,1
1339,СЗ ПАРУС,5836654615,1125836006570,7,300598.90,162884.90,20.86,1
16912,СЗ ГАЛАКТИКА 4,6162088200,1227700776797,12,299453.10,179210.21,21.67,1
16474,СЗ ТРИУМФ КАПИТАЛ,7751185848,1207700349460,3,296393.70,154593.50,49.00,1
11410,СЗ ЗИЛ-ЮГ,7725852742,1147748024170,8,294792.89,150293.50,17.50,1
3175,СЗ РАЗВИТИЕ СЕВЕР,3662218533,1153668063900,4,293332.42,93758.88,22.00,1
15962,СЗ НДК - МОРЕ,9103012773,1149102106779,15,293215.55,141644.84,13.53,1
30107,СЗ Т2-ДЕВЕЛОПМЕНТ,9715447749,1237700277781,1,292983.00,100219.00,94.00,1
14734,СЗ ДОГМА-ВОСТОК,2311317082,1212300015586,33,292106.30,172328.30,10.33,1
21876,СЗ ГОРНЫЕ ВЫСОТЫ,0100006743,1230100003033,17,289093.00,131994.39,12.29,1
11055,СЗ БАДАЕВСКИЙ,7730014425,1027700287537,3,288006.60,93412.80,17.33,1
9058,СЗ МСК ЛЮБЛИНСКАЯ,7743292998,1197746141471,5,285907.72,190523.60,26.00,1
20111,ЛЕГЕНДА ЗАЛИВА,9717106913,1217700495352,2,285110.93,151840.00,20.50,1
7354,СЗ ДСК-1,8602058789,1028600601006,13,282024.81,182443.64,16.85,1
15192,СЗ ТАЛАН-РЕГИОН-24,1841079988,1181832015606,21,279520.60,179793.70,16.71,1
6560,"СЗ УФИМСКОЕ ГОРОДСКОЕ АИК, АО СЗ УГАИК",0276056635,1020202860721,13,276456.20,188677.00,9.00,1
16452,СЗ МЕГАСТРОЙ,9729307396,1217700179487,16,274142.60,143608.60,13.81,1
1538,СЗ ОТРАДА ДЕВЕЛОПМЕНТ,5024091623,1075024008938,32,272283.90,132173.10,5.22,1
14220,СЗ КОЛИБРИ,2367014107,1202300026598,4,268439.60,0.00,8.00,1
13298,СЗ АКВАМАРИН,5402063793,1205400055552,23,266786.98,177398.62,19.30,1
19070,СЗ АНАПАСТРОЙПРОЕКТ,2312311083,1222300033757,4,266765.00,143725.50,11.50,1
14527,СЗ ТРЕНД-ГРУПП,7717701806,1117746478200,4,264218.03,106862.05,30.25,1
3445,СЗ ПЕРВЫЙ МОСКОВСКИЙ,7751036892,1177746136370,10,262869.00,200213.40,19.90,1
15801,СЗ ГОЛДФИШ,7709733836,5077746477760,4,260031.20,141516.20,14.50,1
20852,СЗ СТРАНА Е ПРУДЫ,9703136266,1237700153382,5,257018.55,144580.39,22.60,1
16335,СЗ ССК КАЛИНИНГРАД,3906412009,1223900003590,14,255141.86,146676.32,8.00,1
13544,СЗ ОСТРОВ СИТИ,7810781309,1197847230998,7,253627.26,113622.49,8.00,1
18629,СЗ Д-ФИНАНС,2311343639,1232300000899,4,253419.92,166580.17,25.50,1
12943,СЗ СТРАНА ЗАПАД,7203518337,1217200005681,10,252615.95,137071.24,14.80,1
17025,СЗ МАРЬИНО,9724098029,1227700565938,3,249240.80,148182.30,17.67,1
19315,СЗ ИНВЕСТ-ПРОГРЕСС,1655376599,1161690178374,4,247361.80,137500.30,25.50,1
12220,СЗ ЛСР,7838082999,1187847328294,9,244744.92,153109.71,23.78,1
17945,СЗ ИЗУМРУДСТРОЙ-1,2311257958,1182375034874,18,244706.96,114662.88,6.61,1
18546,СЗ ЛИГАСТРОЙ,7805779047,1217800070938,3,244024.00,148850.82,19.00,1
21020,СЗ ССК-СПБ,9705171435,1227700320572,5,238191.47,141760.78,20.20,1
16902,СЗ ГОРИЗОНТ,6500011435,1236500004069,15,236046.62,42189.50,5.00,1
28410,СЗ АТМОСФЕРА,0274394981,1250200015251,8,235380.06,142397.47,28.63,1
497,СЗ ПРИГОРОД ЛЕСНОЕ,7725790373,1137746376910,4,233690.78,152728.10,18.00,1
273,СЗ БЭСТ-СТРОЙ УНИСТРОЙ,6659158985,1076659014860,4,232115.50,137392.40,30.25,1
18385,СЗ МКС,0300018859,1230300008410,13,231835.00,174825.00,15.00,1
7719,СЗ БАСТИОН,7728458737,1197746056705,4,230867.00,130965.10,16.50,1
13649,СЗ ЭТАЛОН-ОМСК,5501271610,1215500012452,6,230127.84,111734.30,13.17,1
19165,СЗ ВЕРЕЙСКАЯ,9703146842,1237700387176,2,229497.10,131476.50,61.50,1
2482,СЗ ИНТЕР-ТЕП,2926010105,1022900529398,14,228350.27,166322.32,14.43,1
4044,СК  НОВЫЙ ВЕК,6449033429,1026401975940,4,227852.90,152940.30,26.00,1
14624,СЗ УНИВЕРСАЛСТРОЙ,5024201668,1195081094152,6,226731.68,114282.51,10.50,1
20958,СЗ БЕРЕГ,5262127571,1045207806731,5,225782.96,111738.69,12.80,1
13073,СЗ ПФК,7702815127,1137746417830,2,225296.30,133984.00,31.00,1
40295,СЗ АЛМАЗСТРОЙ,2312319131,1232300030600,16,224768.90,0.00,6.19,1
172,СЗ-3 ЮСИ КУБАНЬ,2311152539,1122311014495,13,224267.90,96742.40,10.54,1
18989,СЗ СТРАНА.КОММУНИСТИЧЕСКАЯ,7203552112,1237200003457,4,222766.20,99025.49,22.75,1
13781,"СПЕЦСТРОЙ ЯБЛОЧКОВА, 26",5903149459,1215900009093,10,222638.75,163003.70,20.40,1
12177,СЗ КОНВЕРСИЯ,6163103892,1106193004675,9,221781.42,128720.33,16.89,1
1927,СЗ ЛСР.ОБЪЕКТ-М,7725549175,1057748299113,2,221772.54,111806.10,44.50,1
13570,СЗ СЭТЛ РАЗВИТИЕ,7814783057,1207800155342,9,221338.88,119854.37,13.11,1
11964,ГРК ЭНКО,7203437864,1177232036420,6,220883.32,107297.77,18.50,1
13733,"СЗ КУТУЗОВСКИЙ, 16 (ООО)",7715865510,1117746359235,2,220356.30,141550.10,46.00,1
37439,СЗ ИНВЕСТДЕВЕЛОПМЕНТ-1,2312327943,1242300032831,3,220241.20,99430.40,15.00,1
17006,СЗ МОЙ РИТМ,1624000349,1021607361049,3,220084.49,97643.75,21.33,1
14233,СЗ НАЧАЛО,9729315076,1217700516230,2,218811.60,101303.00,39.00,1
17027,КВАРТАЛ МЕТРОНОМ,7734443778,1217700280654,2,217790.00,138678.80,32.50,1
10954,СЗ СНС,5041204154,1165012050994,4,217656.07,100871.49,21.50,1
14642,СЗ ЧАСОВАЯ,9709044935,1197746127215,2,216273.00,108698.70,28.50,1
15942,СЗ НМ-КОНСАЛТ,9721090818,1197746701877,12,215930.50,122732.20,20.92,1
16750,CЗ ФЕМИЛИ РЕЗОРТ НЕБУГ,2308288843,1222300064931,25,213382.74,0.00,4.84,1
17063,СЗ САМОЛЕТ-ТАЛЛИНСКОЕ,5027297904,1215000072110,6,212889.12,127483.16,11.67,1
14833,СЗ ИНСИТИ К-8,2311312359,1202300062821,8,212375.18,120139.80,10.38,1
21273,"ЭЛЕМЕНТ 5,6",7813682056,1247800079823,2,211901.03,112349.50,19.00,1
3751,СЗ САМОЛЕТ-ПУТИЛКОВО,5027243320,1165027057458,4,210883.58,126524.30,21.00,1
17244,СЗ ПРОСТОРЫ КРЫМА,9108127672,1229100012393,18,210049.73,112624.39,8.56,1
12842,СЗ ЦЕНТРПОЛИС,7743345103,1207700284296,4,209446.00,121686.70,29.00,1
17623,СЗГРАЖДАНСТРОЙАНАПА,2312320105,1232300038079,4,209208.70,0.00,10.00,1
8954,ГС-САВВИНО - СПЕЦЗАСТРОЙЩИК,5012080176,1135012005721,5,208724.82,144559.10,23.20,1
29873,СЗ ЖИЛСТРОЙИНВЕСТ 1,9403031209,1249400007130,18,208668.14,132326.87,12.28,1
6280,СЗ ЛЕГИС,7730618956,1097746775620,7,206982.64,141204.40,8.00,1
15926,СЗ САМОЛЕТ-САБАНЕЕВА,2543164340,1222500006354,3,205037.10,37847.20,28.00,1
14513,СЗ СТРОЙДОМ-ИНВЕСТ,3666253627,1203600039543,5,203922.93,134848.05,19.80,1
13237,СЗ ЗЕЛЕНОГРАДСКИЙ,7735092843,1027739388511,4,201363.05,125607.90,27.25,1
933,СПЕЦЗАСТРОЙЩИК КСМ,4345077227,1044316516606,10,201349.91,125479.00,15.20,1
16044,СЗ ГЛОБАЛПЛЮС,1685010048,1231600010652,6,200950.84,89476.54,17.17,1
515,СЗ БУХТА ЛЭНД,7731477627,1147746948250,2,200713.88,0.00,32.00,1
7,СЗ ГОРОДОК,7203312417,1147232033310,2,199634.90,105777.82,32.00,1
4568,СЗ ШЕРЕМЕТЬЕВО-4,5015008347,1075015000279,6,199630.30,109261.10,14.83,1
16245,СЗ САМОЛЕТ-СТРОГИНО ПАРК,5032037644,1025004069276,3,199313.45,116098.45,25.00,1
18981,СЗ МЕГАПОЛИС ТУЛА,1300010040,1241300000754,6,198938.80,103463.04,19.67,1
9045,БЕРЕГОВОЙ - СПЕЦЗАСТРОЙЩИК,7730014070,1037739783124,2,198155.50,107306.40,18.00,1
596,СЗ ЛСР. НЕДВИЖИМОСТЬ-УРАЛ,6672142550,1026605389667,7,197308.30,121134.00,21.57,1
15746,СЗ СК ТЕХЮГСТРОЙ,2311340860,1222300057760,20,196972.90,97600.21,8.35,1
27915,СЗ ГРУППА КОМПАНИЙ ПРАВОВОЙ СТАНДАРТ,2312165185,1092312007336,3,196324.50,133471.50,19.00,1
19017,СЗ СТРАНА.ЯРОСЛАВСКАЯ,7203552105,1237200003446,5,195383.19,103239.43,22.60,1
14846,СЗ ТПУ РОСТОКИНО,7702441440,1187746836980,2,193155.16,0.00,38.00,1
13473,СЗ ЛИГОВСКИЙ СИТИ,7806543527,1187847148785,4,192954.58,85598.40,15.00,1
15681,СЗ СПБ РЕНОВАЦИЯ - СЛАВЯНКА-6,7840102025,1227800124991,6,191184.13,106638.94,19.33,1
13090,СЗ ИСБ-НЕДВИЖИМОСТЬ,9705130661,1197746232804,3,191047.32,115127.04,20.33,1
22241,СЗ СПИКА,5260494939,1245200012199,5,190844.39,124344.89,14.80,1
2071,СЗ СТАДИОН СПАРТАК,7709574093,1047796801920,2,190811.80,109771.80,24.00,1
16102,СЗ ОЛИМП-КАМЧАТКА,4101187313,1194101000906,10,190310.28,104834.88,14.60,1
1006,СЗ АКВА СИТИ,5407480952,1125476185889,3,189964.62,60382.20,20.67,1
10627,СЗ ЭНЕРГОСТРОЙ,5410077581,1185476100039,11,189625.00,106948.50,14.09,1
15876,СЗ ОРЕНБУРГСТРОЙ,5610247921,1235600000580,10,189163.60,114395.41,20.90,1
18656,СЗ УРАЛЬСКАЯ 87,2312298844,1212300009536,51,189108.90,115117.74,8.49,1
17178,ООО СЗ ЩИБРОВО,9701058929,5167746459106,4,187805.39,153945.10,19.00,1
13533,СЗ МТ-ДЕВЕЛОПМЕНТ,1660363355,1211600036361,5,187519.30,100793.50,21.20,1
12935,СЗ САМОЛЕТ-ЮРЛОВО,5003136930,1195027025786,4,187450.31,106997.37,10.75,1
13696,СЗ ФРИДОМ-СИТИ,5405351743,1075405020855,2,187397.50,0.00,26.00,1
15972,СЗ САМОЛЕТ-МАРЬИНО 1,7751191111,1217700016346,4,186572.72,118745.59,19.75,1
15698,СЗ СТОЛИЦА ЮГА,7714468848,1217700064328,4,185458.20,109140.30,19.75,1
16698,ЛЕГЕНДА ВАСИЛЬЕВСКОГО,7810973191,1237800028366,8,182806.85,96750.00,9.25,1
3873,СЗ НОВЫЙ ГОРИЗОНТ,7722442850,1187746256390,2,181323.00,123059.80,26.00,1
23048,СЗ НОВОСЕЛЬЕ-2,4707053815,1234700031752,11,180417.45,117512.66,13.00,1
13663,СЗ ГАРТЕЯ,5018094457,1045003358245,1,180225.00,0.00,31.00,1
3495,СЗ К2,7204190698,1137232032728,3,180024.40,97000.85,22.00,1
433,СЗ СКГ,9102039187,1149102074197,8,179402.93,115107.99,21.75,1
3111,СЗ СОЮЗ - ИНВЕСТ,5448456469,1145476139324,7,179263.50,119737.90,16.57,1
22989,СЗ ГРАД ПЛАЗА,9721188789,1227700803857,1,178316.70,104645.50,62.00,1
24943,СЗ Б2-ДЕВЕЛОПМЕНТ,9710095229,1227700022769,16,177645.41,110334.34,6.31,1
14801,СЗ САМОЛЕТ-ЛАЙКОВО,5027297020,1215000057161,5,176520.90,102375.04,12.20,1
15959,СЗ ВЛАДОГРАД,2309151841,1162375034260,6,175753.22,107339.43,16.67,1
94,ВСЗ,3525168231,1063525104576,7,174693.10,69680.90,11.14,1
22820,СЗ ПРОЕКТ-С-23,6166128165,1236100015821,3,173954.68,90960.08,22.00,1
2784,СЗ СПБ ПРИМОРСКОЕ,7703744616,1117746394402,19,173709.81,0.00,5.00,1
38429,СЗ НОВАГРАД,7805780405,1217800091123,8,173626.22,96074.18,13.38,1
15576,СЗ К-ДЕВЕЛОПМЕНТ,9715391912,1207700405000,2,173443.65,110481.38,53.50,1
13344,СЗ КОСМОС,7207021070,1217200000830,5,173372.85,90654.30,19.80,1
15534,СЗ ЗЕЛЕНЫЙ САД - ПРЕМЬЕР,6234103362,1126234005424,3,173085.10,86353.60,20.00,1
14737,СЗ ДРЕВО.ГРИНРИВЕР,6317149441,1206300052925,7,172825.44,121506.71,28.57,1
6783,СЗ ПЕРЕДЕЛКИНО БЛИЖНЕЕ,7751035602,1177746073284,5,172751.60,122786.70,15.80,1
13011,СЗ САМОЛЕТ-КОРОБОВО,7725790366,1137746376877,6,172446.05,110958.04,18.00,1
18789,СЗ ДОГМА ВОДА,2311308923,1202300047058,19,171355.11,108069.32,8.58,1
14827,СЗ САМОЛЕТ-ЧАРКОВА,7203534716,1227200004074,7,171274.37,101265.18,20.43,1
13577,СЗ НОВЫЙ ЭЛЕМЕНТ,7810770106,1197847154229,3,170961.97,71548.40,13.00,1
15980,СЗ ФОРТУНА,5030056345,1065030023101,6,170302.86,118050.40,23.50,1
17727,СЗ СТОУН,7805586408,1127847229223,7,169914.41,106191.99,15.00,1
11079,СЗ ЦЕНТР СТРОЙ,2301102458,1202300057630,13,169633.30,79693.82,18.15,1
15374,СЗ МИЧУРИНА 27,6316259378,1196313072405,2,169366.17,83422.57,31.50,1
6426,СЗ ГСД,7727750873,1117746401123,2,169131.01,73652.20,23.00,1
498,СЗ САМОЛЕТ-ТОМИЛИНО,5027240182,1165027054059,3,167645.56,59516.47,15.00,1
6096,БАЛАНС - СПЕЦЗАСТРОЙЩИК,7721228357,1027700072520,1,167090.70,97418.10,32.00,1
13416,СЗ ПРЕСНЕНСКИЙ ВАЛ 27,7703071061,1027739183230,2,167054.32,93538.61,35.50,1
16384,СЗ ДНС СИТИ,2502062773,1202500017664,6,167043.38,109970.63,12.83,1
6189,СЗ АРТ ЭЛЬ,6501260113,1136501007830,14,166125.06,83722.19,16.36,1
9410,СЗ РАЗВИТИЕ АРТ ДЕКО,3666146223,1073667031294,2,166062.00,54603.94,24.00,1
12934,СЗ САМОЛЕТ-МОЛЖАНИНОВО,9731002497,1187746498136,3,166015.97,107139.60,17.67,1
12950,СЗ ПОТЕНЦИАЛ,7810759896,1197847132658,2,165650.00,89844.66,16.50,1
17489,СЗ УГМК-ЕКАТЕРИНБУРГ,6678129524,1236600025815,3,165617.60,63704.90,31.00,1
16957,СЗ ДОГМА-ОМСК,5503255928,1215500029370,4,165357.44,94039.53,17.00,1
45222,СЗ МЕТРИКС ДЖУБГА,2308284782,1222300014111,6,163559.52,24656.80,10.00,1
8604,СЗ НА МИНСКОЙ,7203275451,1127232013380,2,163450.61,100239.86,26.00,1
7874,СЗ ЖКС,5402015408,1165476063763,5,160744.90,21905.76,28.00,1
13555,СЗ ИНСИТИ К-16,2311312380,1202300062854,7,159950.33,79384.75,7.00,1
16463,СЗ ЖК ЯРКИЙ. РИГА,5024214427,1215000064663,4,159935.04,71503.80,6.50,1
44908,СПЕЦЗАСТРОЙЩИК ЖЕЛЕЗНО СИМБИРСК,7300051369,1267300003310,9,159924.64,107679.82,9.56,1
37320,СЗ ОКТЯБРЬ,9403032756,1259400001992,18,159424.39,103198.00,13.67,1
12828,СЗ ТЕЛЕКОМСТРОЙ,7708794240,1137746698275,4,158888.96,58402.36,14.00,1
16551,СЗ ЗЕЛЕНЫЙ САД - РЯБИНОВЫЕ ГРОЗДЬЯ,6234106878,1126234009439,25,158392.10,109613.50,6.84,1
17751,СЗ ДИВИНУС ИММОБИЛА,7730219101,5167746297648,1,158299.10,84920.70,21.00,1
15453,СЗ НОВАЯ ЛИВАДИЯ,7730646840,1117746510640,2,158242.97,81514.20,22.00,1
16228,СЗ КАПИТАЛ ЭСТЕЙТ,1655401823,1181690036087,2,157379.80,75263.70,24.50,1
6806,СЗ КАПИТАЛ ИНВЕСТ НСК,5403323525,1105476074494,2,156776.36,82811.90,29.00,1
16525,СЗ НОВОПЕСЧАНАЯ,9709059829,1207700073910,2,156692.00,100171.70,44.00,1
17681,СЗ ИК СТРОЙИНВЕСТИЦИЯ,3906395890,1203900013360,35,155950.11,89600.19,5.00,1
17560,СЗ СИМФОНИЯ,7448247148,1227400045652,4,155607.61,101939.27,16.75,1
2827,СЗ МЕТРОМАШ,7718013457,1027739733284,2,155511.44,55699.40,26.50,1
13082,СЗ ОФЕРТА,5001119992,1185053013420,1,155463.57,84910.15,25.00,1
12309,СЗ СКВ СПБ,7803048130,1027809240876,8,155440.50,77035.40,6.75,1
2803,СЗ ТЕРМИНАЛ-РЕСУРС,7820338713,1147847391834,13,155091.06,109106.90,5.00,1
14675,СЗ ТЕМПО,5402066547,1215400018019,8,155088.79,103716.70,26.50,1
14252,СЗ ИСБ-ДЕВЕЛОПМЕНТ,7203536230,1227200006000,8,155079.55,85930.42,12.75,1
12824,СЗ СЕРЕДНЕВО,7743297957,1197746246037,5,154444.05,115721.30,17.00,1
17196,СЗ ИМПУЛЬС,7707619574,1077746722437,2,153779.50,94537.30,35.00,1
17141,СЗ ЕВРОИНВЕСТ ЛАВРИКИ,7840103621,1227800166527,2,153745.87,91329.17,13.00,1
35504,СЗ СТРОЙЮГ НЕДВИЖИМОСТЬ,9725017784,1197746483208,6,153712.20,0.00,10.00,1
10491,СЗ САНИНО 1,9731034883,1197746216051,11,153693.09,94053.56,9.91,1
21126,СЗ ЮСК,0571020227,1220500005109,2,153646.64,48524.75,14.50,1
23925,СЗ СОКОЛЬНИЧЕСКИЙ ВАЛ 2А,9718108889,1187746729631,2,153375.50,92200.12,38.00,1
19056,СЗ ДЕМЕТРА,7723010211,1027739405572,1,153293.00,113836.00,39.00,1
13935,СЗ АЛЬФА,9724029635,1207700449263,3,153109.67,83572.28,29.00,1
17062,СЗ CОЮЗ-АЛУШТА-2,9103095040,1209100015805,4,152567.92,78325.69,12.75,1
14311,СЗ АРБАН-2022,2460121287,1222400009270,8,151665.60,81183.80,18.50,1
14242,СЗ ЭТАЛОН-НОВОСИБИРСК,5433978818,1215400036411,5,151341.39,82318.50,14.00,1
17478,СЗ ДЕЛО,7714576385,1047796847680,6,149652.97,104346.18,18.00,1
14309,СЗ МИКРОРАЙОН М1,1658220367,1191690071088,4,149540.38,77665.50,17.25,1
17300,СЗ С-ДЕВЕЛОПМЕНТ,7726478128,1217700260348,2,149164.70,80006.20,44.00,1
6098,СЗ РАЗВИТИЕ,2301090361,1152301002743,10,148573.30,0.00,5.20,1
7315,СЗ ВИКТОРИЯ,7804434152,1107847085323,5,147938.73,61383.70,12.00,1
19561,СЗ ДОГМА-7,2311329754,1222300004871,9,147788.70,91124.54,9.44,1
10742,СЗ БАУИНВЕСТ-ЮГ,2308268879,1192375067940,13,147306.42,89723.94,10.23,1
966,СЗ ЛОТАН,7729605705,1087746833316,5,147219.45,95351.10,25.60,1
11129,СЗ ЛСО,7708332790,1187746562915,2,147216.57,99496.10,46.00,1
12829,НИИДАР-НЕДВИЖИМОСТЬ (СЗ).,7718965054,1147746059691,1,146754.46,86566.26,18.00,1
36597,СЗ ИНКОМ СТЕЙТ,2310236497,1242300018630,7,146751.00,97349.00,16.00,1
14770,СЗ ТРОЙКА ПЛЮС,5047253888,1215000074728,9,145897.68,98184.72,12.67,1
14312,СЗ ДОГМА-РЕКОРД,2308267829,1192375058369,10,145624.25,103704.10,11.50,1
7919,СЗ ГРАНЕЛЬ АЛЬФА,5018195430,1185029018041,2,145286.07,93042.09,35.00,1
34464,СЗ АРТ КВАРТАЛ,9719066286,1247700276702,19,145215.76,102279.03,9.74,1
35680,СЗ КРАВТ ЯР ПАРК,1655497307,1231600041936,1,145196.60,0.00,28.00,1
16014,СЗ АТОМ-СТУДЕНЧЕСКАЯ,6685200129,1226600030161,3,144996.80,78886.93,27.67,1
10623,СЗ СТРОЙТРАНС № 1,7203341834,1157232016380,4,144898.31,74477.34,16.75,1
2982,СЗ ПРАЙМ ПАРК,7714964540,5167746451439,3,144815.86,94146.70,37.00,1
18841,СЗ КОНТИНЕНТ,2310233753,1232300043788,3,144805.79,79315.45,14.00,1
615,СЗ ЛСР. НЕДВИЖИМОСТЬ-М,7709346940,1027739061844,1,144291.30,87287.10,25.00,1
33925,СЗ РАЗУМ НА БЕХТЕРЕВА,3000020796,1253000003849,9,144158.46,100748.89,22.00,1
10641,СЗ СЛАВА,7714456070,1197746723239,1,144060.70,80614.90,43.00,1
17146,СЗ МАКСИМУМ,6658562761,1236600022944,9,143840.64,73961.82,6.11,1
10767,СЗ ПРОСПЕКТ,5433974098,1205400021188,6,143557.80,80946.40,15.17,1
